2451692|37442|14911|74623|1176118|1613|27108|74623|1176118|1613|27108|40|15|18|11|1628.66|32.57|1661.23|13.11|506.22|1237.78|355.70|35.18|551.90|
2451495|70505|8533|87084|1360384|4437|14537|87084|1360384|4437|14537|16|20|18|23|447.58|17.90|465.48|30.56|302.22|331.20|51.20|65.18|350.68|
2451396|74839|2288|||||26767||3439|27775||33|22|||0.00|||75.90|485.00||||
2451271|72837|10759|35141|718131|2368|35405|35141|718131|2368|35405|22|12|22|30|247.20|9.88|257.08|23.57|717.30|229.89|15.05|2.26|750.75|
2451430||7130|78764||||78764|1060754|5497|||27|22|79||0.00|0.00|92.68|||0.00|0.00||
2452236|23926|13961|30618|8492|4766|9440|30618|8492|4766|9440|41|17|24|9|107.46|3.22|110.68|54.67|33.03|33.31|68.21|5.94|90.92|
2452273|38436|13283|29071|1421648|5454|5396|29071|1421648|5454|5396|49|18|24|8|252.08|15.12|267.20|62.43|12.72|133.60|29.62|88.86|90.27|
2451372|50248|1042|30691|813091|5891|17091|30691|813091|5891|17091|49|21|26|77|1088.78|43.55|1132.33|1.05|3811.50|163.31|397.95|527.52|3856.10|
2451514|46416|15325|90970|854030|2690|2550|90970|854030|2690|2550|1|13|26|10|362.50|3.62|366.12|68.99|164.80|290.00|60.17|12.33|237.41|
2451529|45968|5942|943|58420|2297|21421|943|58420|2297|21421|13|23|26|35|340.20|13.60|353.80|50.62|453.60|336.79|2.25|1.16|517.82|
2450982|37442|12086|74331|1565742|5600|22258|74331|1565742|5600|22258|56|32|27|4|19.20|1.72|20.92|63.20|41.36|4.60|10.22|4.38|106.28|
2450976|42382|12544|63968|169725|1529|23286|63968|169725|1529|23286|8|6|27|11|380.49|15.21|395.70|76.70|77.66|144.58|11.79|224.12|169.57|
2452492|36787|13269|12839|1060269|5299|15082|12839|1060269|5299|15082|25|5|29|11|400.84|20.04|420.88|16.27|99.11|308.64|18.44|73.76|135.42|
2451423|75368|4009|64553|1687614|2228|7289|64553|1687614|2228|7289|28|26|30|19|168.15|3.36|171.51|94.69|107.54|117.70|42.88|7.57|205.59|
2451476|48229|3460|91962|12631|2900|22369|91962|12631|2900|22369|8|20|30|5|18.20|0.54|18.74|11.66|8.25|2.54|5.79|9.87|20.45|
|43497|3046||1006429|3340|26251|90318|1006429|3340||||32|7|470.26||484.36|99.14||470.26|0.00|||
2451486|253|15937|15754|998787|3867|37347|15754|998787|3867|37347|4|13|32|2|98.40|8.85|107.25|16.33|131.22|51.16|27.87|19.37|156.40|
2451420|61938|11521|25841|1808855|5916|9330|25841|1808855|5916|9330|56|22|32|44|4496.36|314.74|4811.10|5.38|1570.80|4316.50|151.08|28.78|1890.92|
2451622|68694|16490|46758|1477303|5095|8440|46758|1477303|5095|8440|44|9|33|5|1231.20|24.62|1255.82|13.24|580.20|295.48|823.43|112.29|618.06|
2451734|55182|17581|2341|914970|5999|11428|2341|914970|5999|11428|20|17|33|7|88.34|5.30|93.64|24.45|109.27|6.18|6.57|75.59|139.02|
2451697|47575|14282|8237|1089705|4773|31841|8237|1089705|4773|31841|37|8|33|3|164.85|1.64|166.49|3.49|57.06|6.59|137.68|20.58|62.19|
2451615|73881|7993|37870|705124|5978|28032|37870|705124|5978|28032|10|1|34|32|4588.16|183.52|4771.68|51.92|2136.96|917.63|3523.70|146.83|2372.40|
2452120|67792|791|15039|1600609|4132|6502|15039|1600609|4132|6502|19|14|36|16|496.96|34.78|531.74|71.96|773.12|134.17|261.20|101.59|879.86|
2452135|32975|12139|68233|680344|3655|13766|68233|680344|3655|13766|3|19|36|33|1560.57|0.00|1560.57|73.33|845.46|1201.63|326.63|32.31|918.79|
2452038|60285|13993|96096|1039516|6936|47109|96096|1039516|6936|47109|15|2|36|91|15813.07|632.52|16445.59|65.73|8008.91|13441.10|1352.02|1019.95|8707.16|
2451873|61736|3050|62984|1914824|7017|47257|62984|1914824|7017|47257|19|13|38|54|2243.70|179.49|2423.19|60.32|1075.68|628.23|1373.14|242.33|1315.49|
2451812|17353|8467|15013|691848|1836|26624|15013|691848|1836|26624|13|33|38|11|15.18|0.00|15.18|42.63|5.50|9.71|1.53|3.94|48.13|
2452054|39091|9725|17582|1892903|2624|22392|17582|1892903|2624|22392|13|27|39|27|3078.54|30.78|3109.32|79.71|1835.19|1015.91|453.77|1608.86|1945.68|
2452413|27263|12283|8730|781278|1291|27963|8730|781278|1291|27963|45|2|40|13|1286.22|51.44|1337.66|97.11|95.16|424.45|17.23|844.54|243.71|
2452476|28293|16639|15777|803717|3657|25150|15777|803717|3657|25150|43|35|40|9|103.32|1.03|104.35|31.68|2.79|76.45|7.25|19.62|35.50|
2451905|55597|13928|11775|962709|43|8624|11775|962709|43|8624|11|20|41|56|4452.00|311.64|4763.64|63.92|3368.96|1958.88|797.79|1695.33|3744.52|
2451845|42388|16676|39546|1391011|5229|1847|39546|1391011|5229|1847|53|29|41|29|1387.36|69.36|1456.72|14.34|818.67|194.23|608.49|584.64|902.37|
2451261|73439|16081||||6964||||6964|25||42|||||58.60|192.76|80.02|54.48|39.46||
2452078|22372|551|34386|435559|2685|28258|34386|435559|2685|28258|7|12|43|58|4257.20|85.14|4342.34|99.74|1530.04|2469.17|1609.22|178.81|1714.92|
2451335|79473|139|96442|1432457|2425|22840|96442|1432457|2425|22840|8|29|44|13|45.63|3.65|49.28|49.66|0.00|39.24|1.53|4.86|53.31|
2451441|11487|8912|65405|1361990|4975|22407|65405|1361990|4975|22407|20|1|45|43|4438.89|133.16|4572.05|83.51|466.98|532.66|2187.48|1718.75|683.65|
2452105|59457|1791|45913|1423984|4102|39373|45913|1423984|4102|39373|7|30|46|61|704.55|49.31|753.86|33.45|3012.79|295.91|302.39|106.25|3095.55|
2451677|33194|9268|78918|1366834|2750|13819|78918|1366834|2750|13819|38|23|48|9|216.81|17.34|234.15|19.81|45.63|21.68|35.12|160.01|82.78|
2452561|35610|13365|53081|788648|5815|34582|53081|788648|5815|34582|27|29|49|79|10628.66|744.00|11372.66|88.50|2361.31|8502.92|1658.07|467.67|3193.81|
2452060|60418|8915|35908|793212|2516|38620|35908|793212|2516|38620|13|32|51|9|355.32|10.65|365.97|99.51|193.77|309.12|6.00|40.20|303.93|
2452077|13035|3950|57668|1078154|4240|44373|57668|1078154|4240|44373|25|33|51|58|6574.88|460.24|7035.12|57.17|3221.32|1380.72|4051.44|1142.72|3738.73|
|71745|5139|||2111|28323|||2111||37|8|52||765.16||834.02|32.04|229.40||215.16|351.06|330.30|
2451900|32899|1417|80971|1300813|208|13250|80971|1300813|208|13250|32|28|53|2|97.88|1.95|99.83|22.48|13.64|80.26|5.46|12.16|38.07|
2451958|26993|5285|65631|1375925|1419|42466|65631|1375925|1419|42466|29|35|53|13|1368.77|82.12|1450.89|88.01|727.09|191.62|235.43|941.72|897.22|
||16082|||6738|12460||1500216|||53|20|55|7|70.70|4.94||38.47||42.42|4.24||71.20|
||2203|||||61199|||21007|25|35|56||1717.20|154.54|1871.74|3.62|356.40|||||
2451384|77186|7999|58380|1708805|5983|5608|58380|1708805|5983|5608|34|23|57|19|2002.03|120.12|2122.15|71.12|302.10|1301.31|119.12|581.60|493.34|
2451443|45709|2144|93800|1777124|1248|16619|93800|1777124|1248|16619|20|2|58|9|740.34|22.21|762.55|37.92|174.78|222.10|67.37|450.87|234.91|
2451759|67735|14096|20138|821188|5885|40135|20138|821188|5885|40135|38|31|59|26|789.36|71.04|860.40|6.20|134.94|149.97|421.99|217.40|212.18|
2451560|59013|1702|23883|539803|6923|38843|23883|539803|6923|38843|13|25|63|31|191.58|3.83|195.41|1.63|739.35|42.14|127.02|22.42|744.81|
||14062|40670|103015||||103015|2160|33705|||64|36|1086.12|32.58|1118.70|4.75||||543.61||
2451547|32382|17270|28101|99551|3001|15251|28101|99551|3001|15251|26|29|66|7|368.97|0.00|368.97|48.34|12.81|99.62|37.70|231.65|61.15|
2452027|26463|17030|33973|277684|1748|22259|33973|277684|1748|22259|32|34|69|57|5985.57|359.13|6344.70|89.65|1056.21|2394.22|2944.90|646.45|1504.99|
2452341|68091|6577|20911|1511560|5409|5658|20911|1511560|5409|5658|51|18|72|20|3750.00|187.50|3937.50|62.87|742.20|187.50|1959.37|1603.13|992.57|
2452196|78918|7013|27224|1559926|6228|18130|27224|1559926|6228|18130|57|32|72|2|72.30|4.33|76.63|96.96|24.44|65.79|5.46|1.05|125.73|
2452538|5244|15671|42195|94659|276|37493|42195|94659|276|37493|29|11|73|4|208.84|0.00|208.84|90.81|202.68|154.54|19.00|35.30|293.49|
2452648|69373|1533|56326|571505|5084|34663|56326|571505|5084|34663|57|4|75|35|2668.05|80.04|2748.09|62.33|361.20|1414.06|463.97|790.02|503.57|
2452670|41829|5143|72961|4573|4185|3397|72961|4573|4185|3397|55|17|75|23|1807.80|0.00|1807.80|14.00|766.36|379.63|1142.53|285.64|780.36|
2451916|34658|10039|92828|990174|2720|23666|92828|990174|2720|23666|19|17|76|72|2581.92|77.45|2659.37|20.09|5286.96|568.02|2013.90|0.00|5384.50|
2451616|51966|14284|64626|1703073|4720|47567|64626|1703073|4720|47567|43|24|77|8|25.28|0.75|26.03|61.93|0.00|11.12|12.17|1.99|62.68|
||7711|59099||6659||59099|1634079|||||77||1934.50|||45.51|||||838.39|
2451617|28361|8932|56939|1603349|4959|17369|56939|1603349|4959|17369|7|1|79|21|919.59|18.39|937.98|21.38|509.04|478.18|8.82|432.59|548.81|
2451871|54886|12658|11537|1097050|610|24523|11537|1097050|610|24523|8|27|79|33|606.87|36.41|643.28|32.97|290.73|54.61|276.13|276.13|360.11|
2451726|26757|10174|7212|1794817|4822|49674|7212|1794817|4822|49674|19|33|81|17|371.28|29.70|400.98|28.14|85.68|226.48|50.68|94.12|143.52|
2452486|46513|14904|54862|897323|1384|32245|54862|897323|1384|32245|21|32|83|20|104.00|0.00|104.00|21.18|333.00|86.32|9.19|8.49|354.18|
2452557|65926|1311|92087|1208787|7087|11034|92087|1208787|7087|11034|43|3|83|29|300.15|0.00|300.15|44.01|2552.00|168.08|109.61|22.46|2596.01|
2451280|25318|5443|20396|1857247|3251|9702|20396|1857247|3251|9702|19|34|84|2|96.36|3.85|100.21|85.73|33.88|30.83|43.90|21.63|123.46|
2451393|62509|16586|93660|1078409|3158|46707|93660|1078409|3158|46707|55|26|84|18|265.50|2.65|268.15|49.10|165.24|45.13|103.57|116.80|216.99|
2452735||6987|95006|533478|2797||95006|533478||469|||85||20.20||||15.50|19.59|||102.28|
2452663|51913|7290|95493|1729053|5813|973|95493|1729053|5813|973|60|13|85|34|567.80|5.67|573.47|72.34|1817.30|22.71|196.23|348.86|1895.31|
2451723|72393|16273|23324|159786|601|4216|23324|159786|601|4216|52|13|86|16|56.48|0.00|56.48|78.57|53.60|46.31|2.64|7.53|132.17|
2451599|60380|3092|96909|361910|864|41065|96909|361910|864|41065|43|10|86|22|3938.88|157.55|4096.43|78.70|1140.04|590.83|1941.86|1406.19|1376.29|
2452181|69772|3371|40789|1625335|281|18027|40789|1625335|281|18027|5|3|87|11|1976.59|39.53|2016.12|74.21|951.61|316.25|1278.46|381.88|1065.35|
|67250|7460||254698||26424||254698||||34|91|||89.14|1079.59|||||2.98||
2452382|45230|7749|2884|1353432|7180|19328|2884|1353432|7180|19328|23|14|92|15|54.30|1.62|55.92|48.55|37.95|53.21|1.07|0.02|88.12|
2452555|53480|9885|43174|1417259|6897|4535|43174|1417259|6897|4535|33|2|92|18|1303.56|117.32|1420.88|71.91|477.90|404.10|638.61|260.85|667.13|
2452790|34442|13597|49372|463802|4985|9815|49372|463802|4985|9815|27|29|93|21|1923.81|115.42|2039.23|57.75|72.03|1365.90|530.01|27.90|245.20|
2452775|70628|7113|51176|1018443|4910|49377|51176|1018443|4910|49377|51|30|93|88|11567.60|115.67|11683.27|84.79|5192.88|4280.01|1967.64|5319.95|5393.34|
2452056|77444|4185|29134|701863|3839|19768|29134|701863|3839|19768|19|23|95|11|1553.64|124.29|1677.93|50.63|493.46|450.55|573.60|529.49|668.38|
||4231||253586|7137|7935|2788|253586||7935||12|96|||||||175.30|10.67|||
2452085|44364|397|86385|1635385|3585|19385|86385|1635385|3585|19385|47|3|98|44|96.80|6.77|103.57|87.44|549.56|90.02|2.23|4.55|643.77|
2452151|61395|9447|11425|1792938|51|27517|11425|1792938|51|27517|7|25|98|41|1643.69|0.00|1643.69|42.33|182.45|1380.69|163.06|99.94|224.78|
2451635|79446|1328|75662|1085284|2553|29822|75662|1085284|2553|29822|22|14|100|22|2492.60|49.85|2542.45|6.19|1077.78|2093.78|327.03|71.79|1133.82|
